prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components
1646,discharge,ready,ready,NA,NA,NA,2006_Toolik_Inlet_Kling_csv
1646,stream_chemistry,ready,ready,NA,NA,NA,2006_Toolik_Inlet_Kling_csv
10069,discharge,ready,ready,NA,NA,NA,2007_Toolik_Inlet_Kling_csv
10069,stream_chemistry,ready,ready,NA,NA,NA,2007_Toolik_Inlet_Kling_csv
10068,discharge,ready,ready,NA,NA,NA,2008_Toolik_Inlet_Kling_csv
10068,stream_chemistry,ready,ready,NA,NA,NA,2008_Toolik_Inlet_Kling_csv
10070,discharge,ready,ready,NA,NA,NA,2009_Toolik_Inlet_Kling_csv
10070,stream_chemistry,ready,ready,NA,NA,NA,2009_Toolik_Inlet_Kling_csv
10591,discharge,ready,ready,NA,NA,NA,NA
10591,stream_chemistry,ready,ready,NA,NA,NA,NA
